2025,21,Can a trusted messenger change behavior when information is plentiful? Evidence from the first months of the COVID-19 pandemic in West Bengal
2026,7,Can a trusted messenger change behavior when information is plentiful? Evidence from the first months of the COVID-19 pandemic in West Bengal
2020,2,Contamination bias in linear regressions
2021,7,Contamination bias in linear regressions
2022,17,Contamination bias in linear regressions
2023,35,Contamination bias in linear regressions
2024,47,Contamination bias in linear regressions
2025,69,Contamination bias in linear regressions
2026,15,Contamination bias in linear regressions
2017,1,Gender representation in economics across topics and time: Evidence from the NBER summer institute
2018,5,Gender representation in economics across topics and time: Evidence from the NBER summer institute
2019,11,Gender representation in economics across topics and time: Evidence from the NBER summer institute
2020,13,Gender representation in economics across topics and time: Evidence from the NBER summer institute
2021,27,Gender representation in economics across topics and time: Evidence from the NBER summer institute
2022,24,Gender representation in economics across topics and time: Evidence from the NBER summer institute
2023,26,Gender representation in economics across topics and time: Evidence from the NBER summer institute
2024,33,Gender representation in economics across topics and time: Evidence from the NBER summer institute
2025,23,Gender representation in economics across topics and time: Evidence from the NBER summer institute
2026,11,Gender representation in economics across topics and time: Evidence from the NBER summer institute
2020,6,The gender gap in housing returns
2021,21,The gender gap in housing returns
2022,22,The gender gap in housing returns
2023,22,The gender gap in housing returns
2024,37,The gender gap in housing returns
2025,45,The gender gap in housing returns
2026,17,The gender gap in housing returns
2015,2,Consumer bankruptcy and financial health
2016,6,Consumer bankruptcy and financial health
2017,6,Consumer bankruptcy and financial health
2018,8,Consumer bankruptcy and financial health
2019,14,Consumer bankruptcy and financial health
2020,16,Consumer bankruptcy and financial health
2021,24,Consumer bankruptcy and financial health
2022,16,Consumer bankruptcy and financial health
2023,20,Consumer bankruptcy and financial health
2024,27,Consumer bankruptcy and financial health
2025,24,Consumer bankruptcy and financial health
2026,6,Consumer bankruptcy and financial health
2021,27,Comparison of knowledge and information-seeking behavior after general COVID-19 public health messages and messages tailored for Black and Latinx communities: a randomized …
2022,38,Comparison of knowledge and information-seeking behavior after general COVID-19 public health messages and messages tailored for Black and Latinx communities: a randomized …
2023,28,Comparison of knowledge and information-seeking behavior after general COVID-19 public health messages and messages tailored for Black and Latinx communities: a randomized …
2024,29,Comparison of knowledge and information-seeking behavior after general COVID-19 public health messages and messages tailored for Black and Latinx communities: a randomized …
2025,23,Comparison of knowledge and information-seeking behavior after general COVID-19 public health messages and messages tailored for Black and Latinx communities: a randomized …
2026,5,Comparison of knowledge and information-seeking behavior after general COVID-19 public health messages and messages tailored for Black and Latinx communities: a randomized …
2015,3,Macroeconomic effects of debt relief: Consumer bankruptcy protections in the great recession
2016,6,Macroeconomic effects of debt relief: Consumer bankruptcy protections in the great recession
2017,6,Macroeconomic effects of debt relief: Consumer bankruptcy protections in the great recession
2018,4,Macroeconomic effects of debt relief: Consumer bankruptcy protections in the great recession
2019,7,Macroeconomic effects of debt relief: Consumer bankruptcy protections in the great recession
2020,24,Macroeconomic effects of debt relief: Consumer bankruptcy protections in the great recession
2021,14,Macroeconomic effects of debt relief: Consumer bankruptcy protections in the great recession
2022,12,Macroeconomic effects of debt relief: Consumer bankruptcy protections in the great recession
2023,21,Macroeconomic effects of debt relief: Consumer bankruptcy protections in the great recession
2024,19,Macroeconomic effects of debt relief: Consumer bankruptcy protections in the great recession
2025,11,Macroeconomic effects of debt relief: Consumer bankruptcy protections in the great recession
2026,2,Macroeconomic effects of debt relief: Consumer bankruptcy protections in the great recession
2020,1,Effects of a large-scale social media advertising campaign on holiday travel and COVID-19 infections: a cluster randomized controlled trial
2021,10,Effects of a large-scale social media advertising campaign on holiday travel and COVID-19 infections: a cluster randomized controlled trial
2022,33,Effects of a large-scale social media advertising campaign on holiday travel and COVID-19 infections: a cluster randomized controlled trial
2023,25,Effects of a large-scale social media advertising campaign on holiday travel and COVID-19 infections: a cluster randomized controlled trial
2024,29,Effects of a large-scale social media advertising campaign on holiday travel and COVID-19 infections: a cluster randomized controlled trial
2025,23,Effects of a large-scale social media advertising campaign on holiday travel and COVID-19 infections: a cluster randomized controlled trial
2026,6,Effects of a large-scale social media advertising campaign on holiday travel and COVID-19 infections: a cluster randomized controlled trial
2011,1,Credit ratings and security prices in the subprime MBS market
2012,9,Credit ratings and security prices in the subprime MBS market
2013,9,Credit ratings and security prices in the subprime MBS market
2014,12,Credit ratings and security prices in the subprime MBS market
2015,5,Credit ratings and security prices in the subprime MBS market
2016,9,Credit ratings and security prices in the subprime MBS market
2017,10,Credit ratings and security prices in the subprime MBS market
2018,14,Credit ratings and security prices in the subprime MBS market
2019,11,Credit ratings and security prices in the subprime MBS market
2020,9,Credit ratings and security prices in the subprime MBS market
2021,10,Credit ratings and security prices in the subprime MBS market
2022,5,Credit ratings and security prices in the subprime MBS market
2023,3,Credit ratings and security prices in the subprime MBS market
2024,5,Credit ratings and security prices in the subprime MBS market
2025,4,Credit ratings and security prices in the subprime MBS market
2021,5,Changes in racial and ethnic disparities in access to care and health among US adults at age 65 years
2022,15,Changes in racial and ethnic disparities in access to care and health among US adults at age 65 years
2023,27,Changes in racial and ethnic disparities in access to care and health among US adults at age 65 years
2024,28,Changes in racial and ethnic disparities in access to care and health among US adults at age 65 years
2025,26,Changes in racial and ethnic disparities in access to care and health among US adults at age 65 years
2026,2,Changes in racial and ethnic disparities in access to care and health among US adults at age 65 years
2017,1,Heterogeneous real estate agents and the housing cycle
2018,1,Heterogeneous real estate agents and the housing cycle
2019,2,Heterogeneous real estate agents and the housing cycle
2020,5,Heterogeneous real estate agents and the housing cycle
2021,6,Heterogeneous real estate agents and the housing cycle
2022,6,Heterogeneous real estate agents and the housing cycle
2023,11,Heterogeneous real estate agents and the housing cycle
2024,23,Heterogeneous real estate agents and the housing cycle
2025,25,Heterogeneous real estate agents and the housing cycle
2026,3,Heterogeneous real estate agents and the housing cycle
